horizon_days,target,cell,selected_algorithm,n_train,n_test,RMSE,MAE,R2,NSE,KGE,R2_reference_learner
30,sd,48,XGBoost,19321,4018,0.05305283471184961,0.02797566168010235,0.8825715780258179,0.8825715780258179,0.8760161091677704,0.8825715780258179
30,sd,49,XGBoost,19321,4018,0.04608014590943492,0.02449391596019268,0.8825151920318604,0.8825151920318604,0.8802627361548612,0.8825151920318604
30,sd,50,XGBoost,19321,4018,0.04200024444334743,0.021952573210000992,0.8693587779998779,0.8693587779998779,0.8758161849759071,0.8693587779998779
30,sd,51,XGBoost,19321,4018,0.05904236163206718,0.03355049714446068,0.9128991961479187,0.9128991961479187,0.8952358143726388,0.9128991961479187
30,sd,52,XGBoost,19321,4018,0.05839402611123764,0.03279871121048927,0.907663881778717,0.907663881778717,0.8950859739921699,0.907663881778717
30,sd,53,XGBoost,19321,4018,0.057558994081475155,0.03176097571849823,0.9025976657867432,0.9025976657867432,0.8918844708580612,0.9025976657867432
30,sd,54,XGBoost,19321,4018,0.05647560860839743,0.030743349343538284,0.8997552990913391,0.8997552990913391,0.8876231713934923,0.8997552990913391
30,sd,55,XGBoost,19321,4018,0.057969169878660035,0.031231645494699478,0.8972295522689819,0.8972295522689819,0.887535342124804,0.8972295522689819
30,sd,56,XGBoost,19321,4018,0.057032746710145854,0.030285438522696495,0.8985983729362488,0.8985983729362488,0.8938436534515668,0.8985983729362488
30,sd,57,XGBoost,19321,4018,0.05434957689255588,0.029427407309412956,0.8988090753555298,0.8988090753555298,0.8979425741315654,0.8988090753555298
30,sd,58,XGBoost,19321,4018,0.051693712434137,0.027319440618157387,0.8911763429641724,0.8911763429641724,0.8941592984287182,0.8911763429641724
30,sd,59,XGBoost,19321,4018,0.04861738025216976,0.025498442351818085,0.8760673403739929,0.8760673403739929,0.8751306907722313,0.8760673403739929
30,sd,60,XGBoost,19321,4018,0.044027479497304116,0.022804759442806244,0.8745338320732117,0.8745338320732117,0.8778893495430259,0.8745338320732117
30,sd,61,XGBoost,19321,4018,0.03962403154637506,0.02064327336847782,0.8639824390411377,0.8639824390411377,0.870560857394963,0.8639824390411377
30,sd,62,XGBoost,19321,4018,0.03735229546293144,0.019241442903876305,0.8504671454429626,0.8504671454429626,0.8687165413118865,0.8504671454429626
30,sd,63,XGBoost,19321,4018,0.053490256906460705,0.03026450239121914,0.9208499789237976,0.9208499789237976,0.9157044492208528,0.9208499789237976
30,sd,64,XGBoost,19321,4018,0.05225570536822283,0.02937782183289528,0.9229922294616699,0.9229922294616699,0.9146565404509677,0.9229922294616699
30,sd,65,XGBoost,19321,4018,0.05147199843400967,0.029148785397410393,0.9227719306945801,0.9227719306945801,0.91692492262972,0.9227719306945801
30,sd,66,XGBoost,19321,4018,0.049848801112519096,0.027920078486204147,0.9206825494766235,0.9206825494766235,0.9139262633697958,0.9206825494766235
30,sd,67,XGBoost,19321,4018,0.04968901834327312,0.026542657986283302,0.9017541408538818,0.9017541408538818,0.8950659252445562,0.9017541408538818
