year,snowc,sd,smlt_mm,t2m_C_bc,snw_mm_raw,model,scenario
2048,42.659943,0.15680332,1047.9708,7.752463412642545,1.5730424,canesm5_canoe,SSP2-4.5
2049,39.760708,0.10277188,898.6094,7.9820256165333445,1.0161707,canesm5_canoe,SSP2-4.5
2050,42.27215,0.1384028,907.2436,7.371151351050851,1.0489451,canesm5_canoe,SSP2-4.5
2051,43.445614,0.14192909,992.5809,7.257951983617441,0.20074046,canesm5_canoe,SSP2-4.5
2052,46.911213,0.14787297,1139.5234,7.037662049048095,1.861199,canesm5_canoe,SSP2-4.5
2053,41.27602,0.12874208,748.5484,7.260002156185916,3.221902,canesm5_canoe,SSP2-4.5
2054,43.08575,0.1373956,814.2786,7.265807445124569,1.5423256,canesm5_canoe,SSP2-4.5
2055,41.795937,0.11477064,808.40015,7.868944211484597,1.6220417,canesm5_canoe,SSP2-4.5
2056,46.059307,0.15298651,1088.5485,7.819139890095644,0.9243315,canesm5_canoe,SSP2-4.5
2057,42.929478,0.13565263,1134.3463,8.092483709296689,1.2789404,canesm5_canoe,SSP2-4.5
2058,47.836853,0.14655711,989.97424,7.366937357914914,1.4149398,canesm5_canoe,SSP2-4.5
2059,34.107666,0.112989955,916.5784,8.498659409635154,0.14414792,canesm5_canoe,SSP2-4.5
2060,40.17007,0.13975002,1045.9033,8.060983413712181,0.77537507,canesm5_canoe,SSP2-4.5
2061,43.862564,0.13971232,916.4029,7.995664676063573,0.41621777,canesm5_canoe,SSP2-4.5
2062,43.20523,0.14069527,927.1533,7.824677522850532,1.7661833,canesm5_canoe,SSP2-4.5
2063,42.740856,0.15524463,1058.8456,7.937247319684189,4.1325603,canesm5_canoe,SSP2-4.5
2064,38.52947,0.13446836,941.12177,8.259643822829338,0.6286735,canesm5_canoe,SSP2-4.5
2065,40.07971,0.12385702,834.9258,7.7921219157164705,0.089831054,canesm5_canoe,SSP2-4.5
2066,38.04887,0.11967259,897.8718,8.449636488958445,0.9484875,canesm5_canoe,SSP2-4.5
2067,42.121593,0.14595869,850.10736,7.825060998098899,0.55947286,canesm5_canoe,SSP2-4.5
2068,38.249947,0.115457065,851.0953,8.327241552710161,0.14585833,canesm5_canoe,SSP2-4.5
2069,43.429565,0.15929547,1216.9489,8.620753773314567,1.7187191,canesm5_canoe,SSP2-4.5
2070,37.782974,0.102446996,743.9076,8.978508558646663,1.3302507,canesm5_canoe,SSP2-4.5
2071,33.251846,0.07596493,860.15137,9.06642933014629,0.15886863,canesm5_canoe,SSP2-4.5
2072,39.439716,0.13898891,962.54095,8.715276774243515,0.53276443,canesm5_canoe,SSP2-4.5
2073,35.682125,0.10992374,865.4597,8.662981760948233,0.28697535,canesm5_canoe,SSP2-4.5
2074,38.486637,0.13267025,670.6223,7.9708153394417565,2.4937665,canesm5_canoe,SSP2-4.5
2075,39.661987,0.12398317,1022.1676,8.603719794772502,1.0318838,canesm5_canoe,SSP2-4.5
2076,36.392155,0.10872904,901.1084,8.631586665397522,0.22186221,canesm5_canoe,SSP2-4.5
2077,43.71689,0.1523012,971.09576,7.7497263619273395,1.2194296,canesm5_canoe,SSP2-4.5
2078,40.966778,0.13307855,720.0199,7.666704924605501,1.5420405,canesm5_canoe,SSP2-4.5
2079,40.616753,0.11329579,871.5003,8.717335032777038,0.9328378,canesm5_canoe,SSP2-4.5
2080,40.713184,0.14265096,1130.0631,8.535406867306252,0.93098813,canesm5_canoe,SSP2-4.5
2081,36.421383,0.120808475,895.67706,9.059711060881108,0.112909906,canesm5_canoe,SSP2-4.5
2082,41.580753,0.1330354,866.3624,7.806313457081994,1.3703111,canesm5_canoe,SSP2-4.5
2083,37.20812,0.081188604,926.7971,8.798317987498493,0.53849,canesm5_canoe,SSP2-4.5
2084,42.812534,0.11323031,957.87317,8.324486261124973,1.9694284,canesm5_canoe,SSP2-4.5
2085,37.83893,0.11519051,808.199,8.236725063044632,1.8103641,canesm5_canoe,SSP2-4.5
2086,36.749363,0.10615904,846.5438,9.091045144415904,0.70012856,canesm5_canoe,SSP2-4.5
2087,38.496014,0.11237707,1056.5913,9.307523783520859,0.20660038,canesm5_canoe,SSP2-4.5
2088,33.311054,0.14073712,821.74646,8.968577311227753,0.77319795,canesm5_canoe,SSP2-4.5
2089,38.767933,0.100123644,1054.9766,9.26902170987224,0.0531942,canesm5_canoe,SSP2-4.5
2090,42.568295,0.13002641,798.6091,8.112204911104564,1.0345374,canesm5_canoe,SSP2-4.5
2091,34.73845,0.10860471,981.17664,9.374270725593249,0.19173312,canesm5_canoe,SSP2-4.5
2092,40.282722,0.13917775,745.3811,8.467547133801762,1.6691647,canesm5_canoe,SSP2-4.5
2093,38.701263,0.13173564,827.4228,8.41641369748586,1.1018691,canesm5_canoe,SSP2-4.5
2094,39.489265,0.116447955,978.42523,8.970643091772976,0.81297064,canesm5_canoe,SSP2-4.5
2095,38.36983,0.117306165,954.80786,9.084208216119803,0.3760058,canesm5_canoe,SSP2-4.5
2096,42.300816,0.11702252,1065.2637,9.250464696404746,0.73569536,canesm5_canoe,SSP2-4.5
