horizon_days,target,cell,selected_algorithm,n_train_local,n_test_local,RMSE_local,MAE_local,R2_local,NSE_local,KGE_local,R2_reference_learner,algorithm,n_train_cells,n_train_transfer,n_test_transfer,RMSE_transfer,MAE_transfer,R2_transfer,NSE_transfer,KGE_transfer,R2_transfer_loss,R2_learner_gap
1,snowc,26,Random Forest,19350,4018,4.417249617775116,0.8982642372713373,0.991240289597344,0.9912402883526203,0.9946830359515616,0.9908267855644226,XGBoost,81,1567350,4018,4.44835484986993,0.9384591579437256,0.991116464138031,0.99111646,0.9943226639415442,-0.00028967857360839844,0.0004135040329213968
1,snowc,27,Random Forest,19350,4018,4.697931897853237,0.953721795194801,0.9899142548735528,0.9899142540259523,0.9937105145881844,0.989542543888092,XGBoost,81,1567350,4018,4.592409937540836,0.992242157459259,0.9903622269630432,0.9903622,0.9938421893151824,-0.0008196830749511719,0.0003717109854607381
1,snowc,28,Random Forest,19350,4018,4.817943698932882,0.949799714133759,0.9895223668031248,0.9895223665551296,0.9935339010205484,0.9890902638435364,XGBoost,81,1567350,4018,4.599898187920402,0.972403645515442,0.9904492497444152,0.99044925,0.9937089263307858,-0.0013589859008787952,0.0004321029595883985
1,snowc,29,Random Forest,19350,4018,4.4096546511613415,0.8578904428136916,0.9914154540342264,0.9914154540556064,0.9943930508016038,0.990513801574707,XGBoost,81,1567350,4018,4.523000218366322,0.961742639541626,0.9909684658050536,0.99096847,0.992504287014027,-0.00045466423034656867,0.000901652459519342
1,snowc,30,Random Forest,19350,4018,4.213875526283658,0.7731681622677514,0.9920176736988858,0.9920176734703896,0.9949407867449228,0.9916906356811525,XGBoost,81,1567350,4018,4.249539069817832,0.946798861026764,0.9918819665908812,0.99188197,0.9931993993441636,-0.00019133090972878186,0.00032703801773337204
1,snowc,31,Random Forest,19350,4018,4.537355524154238,0.906160685300387,0.9909057007440822,0.9909056994699336,0.9941649769363254,0.9910086989402772,XGBoost,81,1567350,4018,4.452613131902723,0.9918220043182372,0.9912422299385072,0.99124223,0.9909829616512802,-0.00023353099822998047,-0.00010299819619496997
1,snowc,32,Random Forest,19350,4018,4.561442401185033,1.0029186600782871,0.990321373285367,0.9903213743464048,0.9939845115941912,0.989462673664093,XGBoost,81,1567350,4018,4.692624762070027,1.069646954536438,0.98975670337677,0.9897567,0.9925106140742336,-0.00029402971267700195,0.0008586996212739395
1,snowc,33,Random Forest,19350,4018,4.70440728168413,1.0019692886042917,0.9897450143550288,0.9897450145883904,0.993749679690692,0.989143967628479,XGBoost,81,1567350,4018,4.601305088168388,1.0565893650054932,0.9901896119117736,0.9901896,0.9925280640750644,-0.0010456442832945667,0.0006010467265498143
1,snowc,34,Random Forest,19350,4018,4.583604563282488,0.9448265470000212,0.9907565326688544,0.9907565325078368,0.9943294782638188,0.9901323318481444,XGBoost,81,1567350,4018,4.51812569300944,0.9191872477531432,0.9910187125205994,0.9910187,0.9938648391920368,-0.000886380672454945,0.0006242008207100191
1,snowc,35,Random Forest,19350,4018,4.408095089205595,0.941620543629586,0.9914496519642072,0.991449651907504,0.9943345686388658,0.9903468489646912,XGBoost,81,1567350,4018,4.481720780206349,0.9534534811973572,0.9911616444587708,0.99116164,0.9937424076825456,-0.0008147954940795898,0.0011028029995160393
